model,train_ratio,reduction_train,reduction_test,f_score
GaussianNB,0.9,0.999,0.999,0.0
KNeighborsClassifier,0.5,0.0,0.0,0.6115720288761985
KNeighborsClassifier,0.5,0.0,0.25,0.5638535240845255
KNeighborsClassifier,0.5,0.0,0.5,0.47354138398914525
KNeighborsClassifier,0.5,0.0,0.75,0.33655432477020975
KNeighborsClassifier,0.5,0.0,0.99,0.02284843869002285
KNeighborsClassifier,0.5,0.0,0.999,0.0
KNeighborsClassifier,0.5,0.25,0.0,0.5992939099735216
KNeighborsClassifier,0.5,0.25,0.25,0.5472233481961897
KNeighborsClassifier,0.5,0.25,0.5,0.4728722482232623
KNeighborsClassifier,0.5,0.25,0.75,0.3313896987366375
KNeighborsClassifier,0.5,0.25,0.99,0.020577760189948554
KNeighborsClassifier,0.5,0.25,0.999,0.0016207455429497568
KNeighborsClassifier,0.5,0.5,0.0,0.585416426678954
KNeighborsClassifier,0.5,0.5,0.25,0.5442253521126761
KNeighborsClassifier,0.5,0.5,0.5,0.4718732932823594
KNeighborsClassifier,0.5,0.5,0.75,0.33324722293980885
KNeighborsClassifier,0.5,0.5,0.99,0.019861830742659757
KNeighborsClassifier,0.5,0.5,0.999,0.0017699115044247787
KNeighborsClassifier,0.5,0.75,0.0,0.5814829242955459
KNeighborsClassifier,0.5,0.75,0.25,0.5307591623036649
KNeighborsClassifier,0.5,0.75,0.5,0.48155339805825237
KNeighborsClassifier,0.5,0.75,0.75,0.349740932642487
KNeighborsClassifier,0.5,0.75,0.99,0.028083028083028084
KNeighborsClassifier,0.5,0.75,0.999,0.003790271636133923
KNeighborsClassifier,0.5,0.99,0.0,0.0908004778972521
KNeighborsClassifier,0.5,0.99,0.25,0.08791903858317521
KNeighborsClassifier,0.5,0.99,0.5,0.07775175644028103
KNeighborsClassifier,0.5,0.99,0.75,0.06964285714285715
KNeighborsClassifier,0.5,0.99,0.99,0.05263157894736842
KNeighborsClassifier,0.5,0.99,0.999,0.0
KNeighborsClassifier,0.5,0.999,0.0,0.010214504596527068
KNeighborsClassifier,0.5,0.999,0.25,0.006137061029662461
KNeighborsClassifier,0.5,0.999,0.5,0.009174311926605503
KNeighborsClassifier,0.5,0.999,0.75,0.012145748987854253
KNeighborsClassifier,0.5,0.999,0.99,0.0
KNeighborsClassifier,0.5,0.999,0.999,0.0
KNeighborsClassifier,0.75,0.0,0.0,0.6
KNeighborsClassifier,0.75,0.0,0.25,0.5602948920484466
KNeighborsClassifier,0.75,0.0,0.5,0.48320325755005095
KNeighborsClassifier,0.75,0.0,0.75,0.32609744331886154
KNeighborsClassifier,0.75,0.0,0.99,0.025177025963808025
KNeighborsClassifier,0.75,0.0,0.999,0.001615508885298869
KNeighborsClassifier,0.75,0.25,0.0,0.6048439886537202
KNeighborsClassifier,0.75,0.25,0.25,0.5585248530197755
KNeighborsClassifier,0.75,0.25,0.5,0.4698920988513749
KNeighborsClassifier,0.75,0.25,0.75,0.34098680996580366
KNeighborsClassifier,0.75,0.25,0.99,0.021121039805036552
KNeighborsClassifier,0.75,0.25,0.999,0.0016652789342214824
KNeighborsClassifier,0.75,0.5,0.0,0.6051142792486989
KNeighborsClassifier,0.75,0.5,0.25,0.5514726507713885
KNeighborsClassifier,0.75,0.5,0.5,0.49439826526924463
KNeighborsClassifier,0.75,0.5,0.75,0.36297828335056875
KNeighborsClassifier,0.75,0.5,0.99,0.021524663677130042
KNeighborsClassifier,0.75,0.5,0.999,0.001841620626151013
KNeighborsClassifier,0.75,0.75,0.0,0.5706081962933959
KNeighborsClassifier,0.75,0.75,0.25,0.5281157513975665
KNeighborsClassifier,0.75,0.75,0.5,0.4832097688617532
KNeighborsClassifier,0.75,0.75,0.75,0.3468979319546365
KNeighborsClassifier,0.75,0.75,0.99,0.028571428571428574
KNeighborsClassifier,0.75,0.75,0.999,0.0
KNeighborsClassifier,0.75,0.99,0.0,0.16569113012156686
KNeighborsClassifier,0.75,0.99,0.25,0.1658711217183771
KNeighborsClassifier,0.75,0.99,0.5,0.15466666666666665
KNeighborsClassifier,0.75,0.99,0.75,0.16382252559726965
KNeighborsClassifier,0.75,0.99,0.99,0.03389830508474576
KNeighborsClassifier,0.75,0.99,0.999,0.0
KNeighborsClassifier,0.75,0.999,0.0,0.009930486593843097
KNeighborsClassifier,0.75,0.999,0.25,0.007947019867549669
KNeighborsClassifier,0.75,0.999,0.5,0.005952380952380953
KNeighborsClassifier,0.75,0.999,0.75,0.011811023622047244
KNeighborsClassifier,0.75,0.999,0.99,0.0
KNeighborsClassifier,0.75,0.999,0.999,0.0
KNeighborsClassifier,0.9,0.0,0.0,0.6092643051771118
