model,train_ratio,reduction_test,f_score
random_zeros,0.5,0.5,0.0
random_zeros,0.5,0.75,0.0
random_zeros,0.5,0.9,0.0
random_zeros,0.5,0.99,0.0
random_zeros,0.5,0.999,0.0
random_zeros,0.75,0.0,0.0
random_zeros,0.75,0.25,0.0
random_zeros,0.75,0.5,0.0
random_zeros,0.75,0.75,0.0
random_zeros,0.75,0.9,0.0
random_zeros,0.75,0.99,0.0
random_zeros,0.75,0.999,0.0
random_zeros,0.9,0.0,0.0
random_zeros,0.9,0.25,0.0
random_zeros,0.9,0.5,0.0
random_zeros,0.9,0.75,0.0
random_zeros,0.9,0.9,0.0
random_zeros,0.9,0.99,0.0
random_zeros,0.9,0.999,0.0
